Graph_ID,Category,X_Metric,Y_Metric,Scale,Line_Type,Equation,R_Squared,Data_Points
Small_FLOPs_vs_Latency_linear,Small,FLOPs,Latency,linear,Global Trendline,y = 3559.92 + 2.81478*x,0.11268917940016776,71
Small_FLOPs_vs_Latency_linear,Small,FLOPs,Latency,linear,Compression Engine Network Line,y = -199.172 + 19.9307*x,0.9914003152760698,8
Small_FLOPs_vs_Latency_linear,Small,FLOPs,Latency,linear,ENet Network Line,y = 126.765 + 53.9982*x,0.9989349392437135,8
Small_FLOPs_vs_Latency_linear,Small,FLOPs,Latency,linear,ERFNet Network Line,y = -781.396 + 15.5468*x,0.9932344024581267,8
Small_FLOPs_vs_Latency_linear,Small,FLOPs,Latency,linear,ESPNet Network Line,y = 371.406 + 148.526*x,0.994932054086258,8
Small_FLOPs_vs_Latency_linear,Small,FLOPs,Latency,linear,EliteNet Network Line,y = -12.631 + 40.3617*x,0.9959663987908742,8
Small_FLOPs_vs_Latency_linear,Small,FLOPs,Latency,linear,Jet Seg Network Line,y = 642.284 + 4.94153*x,0.8662530722006717,8
Small_FLOPs_vs_Latency_linear,Small,FLOPs,Latency,linear,SegFormer-BO Network Line,y = -181.415 + 24.3955*x,0.9737025141861685,7
Small_FLOPs_vs_Latency_linear,Small,FLOPs,Latency,linear,UNet w/o Skip Connection Network Line,y = -1641.07 + 7.88486*x,0.9543677699409732,7
Small_FLOPs_vs_Latency_linear,Small,FLOPs,Latency,linear,UNext w/o skip Network Line,y = -7463.02 + 57.1175*x,0.9319799009564611,8
Small_FLOPs_vs_Latency_log,Small,FLOPs,Latency,log,Global Trendline,y = 1.92897 + 0.689161*x,0.6375773979866396,71
Small_FLOPs_vs_Latency_log,Small,FLOPs,Latency,log,Compression Engine Network Line,y = 1.18604 + 1.03714*x,0.9915834175618891,8
Small_FLOPs_vs_Latency_log,Small,FLOPs,Latency,log,ENet Network Line,y = 1.86164 + 0.939857*x,0.9988980467352732,8
Small_FLOPs_vs_Latency_log,Small,FLOPs,Latency,log,ERFNet Network Line,y = 0.808382 + 1.10871*x,0.9938587493591716,8
Small_FLOPs_vs_Latency_log,Small,FLOPs,Latency,log,ESPNet Network Line,y = 2.27682 + 0.954679*x,0.995193526215453,8
Small_FLOPs_vs_Latency_log,Small,FLOPs,Latency,log,EliteNet Network Line,y = 1.47344 + 1.11727*x,0.9967095205963644,8
Small_FLOPs_vs_Latency_log,Small,FLOPs,Latency,log,Jet Seg Network Line,y = 1.36493 + 0.836618*x,0.9059307449288839,8
Small_FLOPs_vs_Latency_log,Small,FLOPs,Latency,log,SegFormer-BO Network Line,y = 1.20235 + 1.07271*x,0.9732001577856704,7
Small_FLOPs_vs_Latency_log,Small,FLOPs,Latency,log,UNet w/o Skip Connection Network Line,y = -0.261029 + 1.32835*x,0.9671734379651674,7
Small_FLOPs_vs_Latency_log,Small,FLOPs,Latency,log,UNext w/o skip Network Line,y = 0.292961 + 1.40598*x,0.9560283062310406,8
Small_FLOPs_vs_Act_Size_linear,Small,FLOPs,Act_Size,linear,Global Trendline,y = 1531.61 + 1.0177*x,0.09876585064831045,71
Small_FLOPs_vs_Act_Size_linear,Small,FLOPs,Act_Size,linear,Compression Engine Network Line,y = -1.14367 + 13.5879*x,0.9999998715115677,8
Small_FLOPs_vs_Act_Size_linear,Small,FLOPs,Act_Size,linear,ENet Network Line,y = -0.547792 + 8.31383*x,0.9999994804056528,8
Small_FLOPs_vs_Act_Size_linear,Small,FLOPs,Act_Size,linear,ERFNet Network Line,y = -0.508622 + 2.15815*x,0.9999980571399586,8
Small_FLOPs_vs_Act_Size_linear,Small,FLOPs,Act_Size,linear,ESPNet Network Line,y = -0.159007 + 7.24623*x,0.9999994005568661,8
Small_FLOPs_vs_Act_Size_linear,Small,FLOPs,Act_Size,linear,EliteNet Network Line,y = -5.65879 + 96.6906*x,0.999774421800783,8
Small_FLOPs_vs_Act_Size_linear,Small,FLOPs,Act_Size,linear,Jet Seg Network Line,y = 0.0327073 + 2.89972*x,0.9999999757312116,8
Small_FLOPs_vs_Act_Size_linear,Small,FLOPs,Act_Size,linear,SegFormer-BO Network Line,y = 194.251 + 4.21084*x,0.9681993064258898,7
Small_FLOPs_vs_Act_Size_linear,Small,FLOPs,Act_Size,linear,UNet w/o Skip Connection Network Line,y = 0.733991 + 7.00489*x,0.9999998159946057,7
Small_FLOPs_vs_Act_Size_linear,Small,FLOPs,Act_Size,linear,UNext w/o skip Network Line,y = -0.422378 + 19.3159*x,0.9999999866947011,8
Small_FLOPs_vs_Act_Size_log,Small,FLOPs,Act_Size,log,Global Trendline,y = 1.63773 + 0.637259*x,0.5935224277467179,71
Small_FLOPs_vs_Act_Size_log,Small,FLOPs,Act_Size,log,Compression Engine Network Line,y = 1.13124 + 1.00072*x,0.9999996922830073,8
Small_FLOPs_vs_Act_Size_log,Small,FLOPs,Act_Size,log,ENet Network Line,y = 0.913569 + 1.00329*x,0.9999970955834123,8
Small_FLOPs_vs_Act_Size_log,Small,FLOPs,Act_Size,log,ERFNet Network Line,y = 0.33335 + 1.0001*x,0.9999943879568791,8
Small_FLOPs_vs_Act_Size_log,Small,FLOPs,Act_Size,log,ESPNet Network Line,y = 0.859947 + 0.999974*x,0.9999982401125476,8
Small_FLOPs_vs_Act_Size_log,Small,FLOPs,Act_Size,log,EliteNet Network Line,y = 1.97369 + 1.00649*x,0.9986000404826696,8
Small_FLOPs_vs_Act_Size_log,Small,FLOPs,Act_Size,log,Jet Seg Network Line,y = 0.462524 + 0.999945*x,0.9999999337790088,8
Small_FLOPs_vs_Act_Size_log,Small,FLOPs,Act_Size,log,SegFormer-BO Network Line,y = 1.29556 + 0.762609*x,0.9948615884118187,7
Small_FLOPs_vs_Act_Size_log,Small,FLOPs,Act_Size,log,UNet w/o Skip Connection Network Line,y = 0.845466 + 1*x,0.9999998570597375,7
Small_FLOPs_vs_Act_Size_log,Small,FLOPs,Act_Size,log,UNext w/o skip Network Line,y = 1.28497 + 1.00036*x,0.9999999122914698,8
Small_Act_Size_vs_Latency_linear,Small,Act_Size,Latency,linear,Global Trendline,y = 1077.02 + 1.817*x,0.49242096534622937,71
Small_Act_Size_vs_Latency_linear,Small,Act_Size,Latency,linear,Compression Engine Network Line,y = -197.422 + 1.46678*x,0.9913645354443978,8
Small_Act_Size_vs_Latency_linear,Small,Act_Size,Latency,linear,ENet Network Line,y = 130.358 + 6.49488*x,0.9989011125354622,8
Small_Act_Size_vs_Latency_linear,Small,Act_Size,Latency,linear,ERFNet Network Line,y = -777.8 + 7.20386*x,0.9932641182729236,8
Small_Act_Size_vs_Latency_linear,Small,Act_Size,Latency,linear,ESPNet Network Line,y = 374.686 + 20.4969*x,0.9949284050661088,8
Small_Act_Size_vs_Latency_linear,Small,Act_Size,Latency,linear,EliteNet Network Line,y = -10.2679 + 0.41743*x,0.9961836867666821,8
Small_Act_Size_vs_Latency_linear,Small,Act_Size,Latency,linear,Jet Seg Network Line,y = 642.231 + 1.70413*x,0.8662474821335713,8
Small_Act_Size_vs_Latency_linear,Small,Act_Size,Latency,linear,SegFormer-BO Network Line,y = -1105.97 + 5.49912*x,0.9060742219646126,7
Small_Act_Size_vs_Latency_linear,Small,Act_Size,Latency,linear,UNet w/o Skip Connection Network Line,y = -1641.58 + 1.12556*x,0.9542575780512655,7
Small_Act_Size_vs_Latency_linear,Small,Act_Size,Latency,linear,UNext w/o skip Network Line,y = -7461.59 + 2.95699*x,0.9319603242808502,8
Small_Act_Size_vs_Latency_log,Small,Act_Size,Latency,log,Global Trendline,y = 1.37551 + 0.65391*x,0.39275594101457645,71
Small_Act_Size_vs_Latency_log,Small,Act_Size,Latency,log,Compression Engine Network Line,y = 0.0136698 + 1.03638*x,0.9915594225286336,8
Small_Act_Size_vs_Latency_log,Small,Act_Size,Latency,log,ENet Network Line,y = 1.0059 + 0.936747*x,0.9988330075880735,8
Small_Act_Size_vs_Latency_log,Small,Act_Size,Latency,log,ERFNet Network Line,y = 0.438653 + 1.10867*x,0.9939849062389519,8
Small_Act_Size_vs_Latency_log,Small,Act_Size,Latency,log,ESPNet Network Line,y = 1.45581 + 0.95471*x,0.9952085171513139,8
Small_Act_Size_vs_Latency_log,Small,Act_Size,Latency,log,EliteNet Network Line,y = -0.714874 + 1.10906*x,0.9963089449439144,8
Small_Act_Size_vs_Latency_log,Small,Act_Size,Latency,log,Jet Seg Network Line,y = 0.977955 + 0.836664*x,0.9059316071675143,8
Small_Act_Size_vs_Latency_log,Small,Act_Size,Latency,log,SegFormer-BO Network Line,y = -0.624262 + 1.40819*x,0.9804004387173638,7
Small_Act_Size_vs_Latency_log,Small,Act_Size,Latency,log,UNet w/o Skip Connection Network Line,y = -1.38388 + 1.32828*x,0.9670851472715889,7
Small_Act_Size_vs_Latency_log,Small,Act_Size,Latency,log,UNext w/o skip Network Line,y = -1.51281 + 1.40541*x,0.9559471243008915,8
Medium_FLOPs_vs_Latency_linear,Medium,FLOPs,Latency,linear,Global Trendline,y = -9336.72 + 12.7217*x,0.7676686682307806,39
Medium_FLOPs_vs_Latency_linear,Medium,FLOPs,Latency,linear,FCN_R50 Network Line,y = 379.204 + 3.43702*x,0.9949220086195416,8
Medium_FLOPs_vs_Latency_linear,Medium,FLOPs,Latency,linear,LinkNet Network Line,y = -319.853 + 11.7177*x,0.9889621001169739,8
Medium_FLOPs_vs_Latency_linear,Medium,FLOPs,Latency,linear,PSPNet Network Line,y = 185.337 + 4.53811*x,0.9981345676721407,8
Medium_FLOPs_vs_Latency_linear,Medium,FLOPs,Latency,linear,SUMNet w/o Skip Connection Network Line,y = -25251.5 + 17.1968*x,0.9271218863930555,7
Medium_FLOPs_vs_Latency_linear,Medium,FLOPs,Latency,linear,SegNet Network Line,y = -24672.1 + 17.6581*x,0.9141552113635079,8
Medium_FLOPs_vs_Latency_log,Medium,FLOPs,Latency,log,Global Trendline,y = 0.802382 + 0.988985*x,0.8662157293099819,39
Medium_FLOPs_vs_Latency_log,Medium,FLOPs,Latency,log,FCN_R50 Network Line,y = 0.716823 + 0.954384*x,0.9952069702644306,8
Medium_FLOPs_vs_Latency_log,Medium,FLOPs,Latency,log,LinkNet Network Line,y = 1.02943 + 0.99946*x,0.9892546641036863,8
Medium_FLOPs_vs_Latency_log,Medium,FLOPs,Latency,log,PSPNet Network Line,y = 0.913592 + 0.922045*x,0.9970089301973231,8
Medium_FLOPs_vs_Latency_log,Medium,FLOPs,Latency,log,SUMNet w/o Skip Connection Network Line,y = -1.51276 + 1.67313*x,0.9757485276932146,7
Medium_FLOPs_vs_Latency_log,Medium,FLOPs,Latency,log,SegNet Network Line,y = -0.72382 + 1.4198*x,0.948962476927308,8
Medium_FLOPs_vs_Act_Size_linear,Medium,FLOPs,Act_Size,linear,Global Trendline,y = -626.083 + 1.88227*x,0.518032330153142,39
Medium_FLOPs_vs_Act_Size_linear,Medium,FLOPs,Act_Size,linear,FCN_R50 Network Line,y = 0.198647 + 0.424508*x,0.9999998508327363,8
Medium_FLOPs_vs_Act_Size_linear,Medium,FLOPs,Act_Size,linear,LinkNet Network Line,y = -1.18917 + 3.37265*x,0.9999988851648137,8
Medium_FLOPs_vs_Act_Size_linear,Medium,FLOPs,Act_Size,linear,PSPNet Network Line,y = 3.21621 + 1.01465*x,0.9999938511703766,8
Medium_FLOPs_vs_Act_Size_linear,Medium,FLOPs,Act_Size,linear,SUMNet w/o Skip Connection Network Line,y = 0.800068 + 3.19547*x,0.9999999784032093,7
Medium_FLOPs_vs_Act_Size_linear,Medium,FLOPs,Act_Size,linear,SegNet Network Line,y = 2.32318 + 0.351373*x,0.999984639671402,8
Medium_FLOPs_vs_Act_Size_log,Medium,FLOPs,Act_Size,log,Global Trendline,y = 0.553066 + 0.829274*x,0.6002038866678744,39
Medium_FLOPs_vs_Act_Size_log,Medium,FLOPs,Act_Size,log,FCN_R50 Network Line,y = -0.371897 + 0.999968*x,0.9999995813970045,8
Medium_FLOPs_vs_Act_Size_log,Medium,FLOPs,Act_Size,log,LinkNet Network Line,y = 0.52065 + 1.0026*x,0.9999973824517524,8
Medium_FLOPs_vs_Act_Size_log,Medium,FLOPs,Act_Size,log,PSPNet Network Line,y = 0.027282 + 0.99364*x,0.9999771634848641,8
Medium_FLOPs_vs_Act_Size_log,Medium,FLOPs,Act_Size,log,SUMNet w/o Skip Connection Network Line,y = 0.50451 + 1.00001*x,0.9999999829479186,7
Medium_FLOPs_vs_Act_Size_log,Medium,FLOPs,Act_Size,log,SegNet Network Line,y = -0.439606 + 0.99624*x,0.9999715413543393,8
Medium_Act_Size_vs_Latency_linear,Medium,Act_Size,Latency,linear,Global Trendline,y = 4602.68 + 4.28032*x,0.594345033175429,39
Medium_Act_Size_vs_Latency_linear,Medium,Act_Size,Latency,linear,FCN_R50 Network Line,y = 377.58 + 8.09651*x,0.994925349123806,8
Medium_Act_Size_vs_Latency_linear,Medium,Act_Size,Latency,linear,LinkNet Network Line,y = -315.537 + 3.4742*x,0.9888824494351561,8
Medium_Act_Size_vs_Latency_linear,Medium,Act_Size,Latency,linear,PSPNet Network Line,y = 171.08 + 4.47244*x,0.9980820212900855,8
Medium_Act_Size_vs_Latency_linear,Medium,Act_Size,Latency,linear,SUMNet w/o Skip Connection Network Line,y = -25253.9 + 5.38151*x,0.9270818375980636,7
Medium_Act_Size_vs_Latency_linear,Medium,Act_Size,Latency,linear,SegNet Network Line,y = -24818.2 + 50.2818*x,0.9151635121900281,8
Medium_Act_Size_vs_Latency_log,Medium,Act_Size,Latency,log,Global Trendline,y = 1.11428 + 0.877802*x,0.7818736157541588,39
Medium_Act_Size_vs_Latency_log,Medium,Act_Size,Latency,log,FCN_R50 Network Line,y = 1.07176 + 0.954416*x,0.9952095743588025,8
Medium_Act_Size_vs_Latency_log,Medium,Act_Size,Latency,log,LinkNet Network Line,y = 0.510329 + 0.996898*x,0.9893105969219927,8
Medium_Act_Size_vs_Latency_log,Medium,Act_Size,Latency,log,PSPNet Network Line,y = 0.888175 + 0.927983*x,0.997109463441359,8
Medium_Act_Size_vs_Latency_log,Medium,Act_Size,Latency,log,SUMNet w/o Skip Connection Network Line,y = -2.35679 + 1.67309*x,0.9757311366791039,7
Medium_Act_Size_vs_Latency_log,Medium,Act_Size,Latency,log,SegNet Network Line,y = -0.0969518 + 1.42504*x,0.9488212242446387,8
Large_FLOPs_vs_Latency_linear,Large,FLOPs,Latency,linear,Global Trendline,y = 8.28119 + 6.15856*x,0.8969484037749247,9
Large_FLOPs_vs_Latency_linear,Large,FLOPs,Latency,linear,HRNet-W48 + OCR Network Line,y = 560.302 + 6.35533*x,0.975763609102289,7
Large_FLOPs_vs_Latency_linear,Large,FLOPs,Latency,linear,SegFormer-B5 Network Line,y = 932.747 + 2.89102*x,1.0,2
Large_FLOPs_vs_Latency_log,Large,FLOPs,Latency,log,Global Trendline,y = 1.13578 + 0.8925*x,0.9308117651089375,9
Large_FLOPs_vs_Latency_log,Large,FLOPs,Latency,log,HRNet-W48 + OCR Network Line,y = 1.15924 + 0.898745*x,0.984262576721173,7
Large_FLOPs_vs_Latency_log,Large,FLOPs,Latency,log,SegFormer-B5 Network Line,y = 1.58455 + 0.683709*x,1.0,2
Large_FLOPs_vs_Act_Size_linear,Large,FLOPs,Act_Size,linear,Global Trendline,y = -965.864 + 8.30681*x,0.8445405738173297,9
Large_FLOPs_vs_Act_Size_linear,Large,FLOPs,Act_Size,linear,HRNet-W48 + OCR Network Line,y = -17.3169 + 8.7095*x,0.9999994870409358,7
Large_FLOPs_vs_Act_Size_linear,Large,FLOPs,Act_Size,linear,SegFormer-B5 Network Line,y = 1004.46 + 2.04271*x,1.0,2
Large_FLOPs_vs_Act_Size_log,Large,FLOPs,Act_Size,log,Global Trendline,y = 0.915452 + 0.983096*x,0.8504616372468179,9
Large_FLOPs_vs_Act_Size_log,Large,FLOPs,Act_Size,log,HRNet-W48 + OCR Network Line,y = 0.935183 + 1.00129*x,0.9999997000634954,7
Large_FLOPs_vs_Act_Size_log,Large,FLOPs,Act_Size,log,SegFormer-B5 Network Line,y = 1.75744 + 0.595653*x,1.0,2
Large_Act_Size_vs_Latency_linear,Large,Act_Size,Latency,linear,Global Trendline,y = 1214.89 + 0.708526*x,0.9699914736073612,9
Large_Act_Size_vs_Latency_linear,Large,Act_Size,Latency,linear,HRNet-W48 + OCR Network Line,y = 572.533 + 0.729723*x,0.9758237123955052,7
Large_Act_Size_vs_Latency_linear,Large,Act_Size,Latency,linear,SegFormer-B5 Network Line,y = -488.849 + 1.41529*x,1.0,2
Large_Act_Size_vs_Latency_log,Large,Act_Size,Latency,log,Global Trendline,y = 0.517349 + 0.854589*x,0.969831951740716,9
Large_Act_Size_vs_Latency_log,Large,Act_Size,Latency,log,HRNet-W48 + OCR Network Line,y = 0.319896 + 0.897569*x,0.9842283433406065,7
Large_Act_Size_vs_Latency_log,Large,Act_Size,Latency,log,SegFormer-B5 Network Line,y = -0.432702 + 1.14783*x,1.0,2
